averageVehicleSpeed;averageDistanceHeadway;percentageLongVehicles;vehicleFlow;occupancy
108;132;0;240;1
131;255;0;60;0
122;255;20;300;2
139;255;0;120;0
90;75;43;900;10
108;127;8;780;5
121;152;75;480;6
72;102;50;600;7
81;74;0;360;2
155;255;0;60;0
109;255;25;240;2
66;132;0;60;0
70;55;13;960;10
120;95;0;240;1
59;16;33;180;1
123;255;0;60;0
125;162;0;420;2
59;207;0;360;2
100;108;20;300;1
110;112;40;600;5
60;96;0;540;5
109;113;25;240;2
101;156;0;480;3
94;132;15;420;2
52;100;34;360;7
52;8;0;180;1
54;211;34;180;3
119;192;0;120;0
96;159;0;480;3
146;255;0;60;0
81;120;0;600;4
117;255;0;120;0
107;219;0;240;1
118;211;0;360;2
135;255;0;120;0
88;255;0;60;0
105;116;10;600;4
68;48;67;180;3
130;255;0;60;0
117;255;20;300;3
65;79;10;660;6
61;72;13;660;6
137;255;0;60;0
117;210;34;180;1
116;78;0;1260;6
107;100;7;1020;6
93;87;13;960;7
102;108;55;660;4
95;120;55;660;3
119;140;0;180;1
98;218;0;300;2
89;101;8;900;6
93;127;0;480;3
67;91;0;480;3
122;255;0;360;2
100;40;34;180;1
116;51;0;540;2
83;71;36;840;8
96;70;10;1260;8
119;105;0;780;4
111;158;0;480;3
129;60;0;1200;8
81;255;0;180;1
38;79;13;480;9
94;132;0;480;3
114;78;0;960;5
99;76;25;960;9
102;66;0;1320;8
118;125;0;480;2
47;85;22;540;5
123;255;0;120;1
107;255;50;480;5
100;71;5;1260;8
108;152;0;540;3
119;164;0;240;1
91;130;86;420;6
95;80;0;1080;7
69;214;0;420;6
73;255;0;120;1
129;255;0;240;1
118;249;25;480;4
97;236;0;180;1
82;209;50;240;2
66;65;0;720;4
84;93;0;300;2
120;255;0;120;0
115;141;10;600;4
91;255;100;180;1
75;88;77;780;10
91;34;4;1920;13
81;35;0;1800;13
76;52;7;960;8
83;36;18;1740;17
92;62;0;1320;9
102;105;0;900;5
103;214;25;480;4
87;106;17;720;7
106;154;0;480;2
67;137;0;420;8
93;174;0;240;2
96;255;0;120;1
27;182;0;180;3
101;73;0;960;7
118;21;12;480;2
123;255;0;60;0
96;137;0;540;3
114;142;0;540;2
197;255;0;60;0
84;144;43;420;5
102;255;0;60;0
143;80;0;660;6
111;255;0;60;0
129;196;0;360;1
70;162;0;300;2
117;228;23;540;4
134;255;0;240;1
98;126;23;600;3
105;114;0;120;0
38;40;0;360;4
14;2;0;60;0
32;128;0;180;2
60;228;34;180;3
108;128;28;660;6
122;255;0;120;0
101;255;0;180;1
107;242;38;480;5
111;180;0;540;3
73;152;0;120;1
80;43;4;1740;12
90;40;4;1620;12
74;55;0;900;6
119;255;0;60;0
107;104;20;420;4
114;196;0;360;8
107;136;45;540;6
127;121;0;360;1
82;43;10;600;4
91;72;43;420;4
110;48;0;540;2
101;67;24;1140;8
52;255;0;60;0
107;106;12;480;3
71;79;0;720;6
162;255;0;180;1
123;189;27;660;5
93;181;25;480;4
104;89;6;1020;6
119;91;0;1080;5
110;60;23;540;3
127;25;0;180;0
53;107;0;480;5
101;68;0;780;6
115;32;0;780;4
106;183;50;240;2
103;131;46;660;7
114;144;0;540;2
98;149;50;120;1
108;171;29;420;4
78;29;8;1560;9
117;253;0;480;3
93;50;22;1140;9
133;255;0;120;1
91;209;50;360;5
61;91;12;540;8
108;81;12;1080;7
61;255;0;180;2
79;83;0;840;7
115;255;0;420;2
122;169;0;240;1
91;80;0;1020;7
75;55;10;1140;9
85;82;39;780;8
104;87;0;900;5
122;255;0;60;0
105;175;0;600;4
94;55;5;1320;10
100;155;38;480;5
126;255;0;240;1
114;103;0;720;4
112;255;0;120;0
100;211;50;360;4
114;147;10;600;3
